Test#,File,Comment,Input_1,Input_2,Input_3,Expected_output_1,Max_cycles,Mailboxes_used,Cycles_used,Halted(1)_or_Terminated(0),Outputs
47,assignment5.txt,Into base 0 and 1,687, 10, 1,999,5000,98 ,360,1,999
48,assignment5.txt,Into base 0 and 1,604, 10, 1,999,5000,98 ,256,1,999
49,assignment5.txt,Into base 0 and 1,383, 10, 0,999,5000,98 ,319,1,999
50,assignment5.txt,Into base 0 and 1,89, 10, 0,999,5000,98 ,280,1,999
51,assignment5.txt,Into base 0 and 1,671, 10, 0,999,5000,98 ,345,1,999
52,assignment5.txt,Out of base 0 and 1,295, 0, 10,999,5000,98 ,23,1,999
53,assignment5.txt,Out of base 0 and 1,626, 1, 10,999,5000,98 ,25,1,999
54,assignment5.txt,Out of base 0 and 1,55, 1, 10,999,5000,98 ,25,1,999
55,assignment5.txt,Out of base 0 and 1,244, 1, 10,999,5000,98 ,25,1,999
56,assignment5.txt,Out of base 0 and 1,883, 1, 10,999,5000,98 ,25,1,999
57,assignment5.txt,Out of base 0 and 1,550, 1, 10,999,5000,98 ,25,1,999
58,assignment5.txt,Out of base 0 and 1,64, 0, 10,999,5000,98 ,23,1,999
59,assignment5.txt,Out of base 0 and 1,78, 0, 10,999,5000,98 ,23,1,999
60,assignment5.txt,Out of base 0 and 1,465, 1, 10,999,5000,98 ,25,1,999
61,assignment5.txt,Out of base 0 and 1,229, 1, 10,999,5000,98 ,25,1,999
62,assignment5.txt,Out of base 0 and 1,163, 0, 10,999,5000,98 ,23,1,999
63,assignment5.txt,Out of base 0 and 1,33, 1, 10,999,5000,98 ,25,1,999
64,assignment5.txt,Out of base 0 and 1,850, 0, 10,999,5000,98 ,23,1,999
65,assignment5.txt,Out of base 0 and 1,810, 0, 10,999,5000,98 ,23,1,999
66,assignment5.txt,Out of base 0 and 1,980, 1, 10,999,5000,98 ,25,1,999
67,assignment5.txt,Out of base 0 and 1,706, 1, 10,999,5000,98 ,25,1,999
68,assignment5.txt,Out of base 0 and 1,115, 0, 10,999,5000,98 ,23,1,999
69,assignment5.txt,Into base greater than 10,737, 10, 9,999,5000,98 ,497,1,999
70,assignment5.txt,Into base greater than 10,299, 10, 96,999,5000,98 ,323,1,999
71,assignment5.txt,Into base greater than 10,427, 10, 58,999,5000,98 ,258,1,999
72,assignment5.txt,Into base greater than 10,331, 10, 16,999,5000,98 ,258,1,999
73,assignment5.txt,Into base greater than 10,89, 10, 1,999,5000,98 ,282,1,999
74,assignment5.txt,Into base greater than 10,249, 10, 58,999,5000,98 ,258,1,999
75,assignment5.txt,Into base greater than 10,234, 10, 68,999,5000,98 ,245,1,999
76,assignment5.txt,Into base greater than 10,907, 10, 16,999,5000,98 ,297,1,999
77,assignment5.txt,Into base greater than 10,512, 10, 92,999,5000,98 ,258,1,999
78,assignment5.txt,Into base greater than 10,890, 10, 4,999,5000,98 ,483,1,999
79,assignment5.txt,Into base greater than 10,841, 10, 12,999,5000,98 ,336,1,999
80,assignment5.txt,Into base greater than 10,608, 10, 33,999,5000,98 ,258,1,999
81,assignment5.txt,Into base greater than 10,973, 10, 39,999,5000,98 ,388,1,999
82,assignment5.txt,Into base greater than 10,533, 10, 81,999,5000,98 ,284,1,999
83,assignment5.txt,Into base greater than 10,601, 10, 30,999,5000,98 ,258,1,999
84,assignment5.txt,Into base greater than 10,53, 10, 2,999,5000,98 ,285,1,999
85,assignment5.txt,Into base greater than 10,552, 10, 39,999,5000,98 ,310,1,999
86,assignment5.txt,Out of base greater than 10,374, 68, 10,999,5000,98 ,27,1,999
87,assignment5.txt,Out of base greater than 10,79, 31, 10,999,5000,98 ,27,1,999
88,assignment5.txt,Out of base greater than 10,963, 18, 10,999,5000,98 ,27,1,999
89,assignment5.txt,Out of base greater than 10,618, 93, 10,999,5000,98 ,27,1,999
90,assignment5.txt,Out of base greater than 10,217, 44, 10,999,5000,98 ,27,1,999
91,assignment5.txt,Out of base greater than 10,424, 99, 10,999,5000,98 ,27,1,999
92,assignment5.txt,Out of base greater than 10,713, 37, 10,999,5000,98 ,27,1,999
93,assignment5.txt,Out of base greater than 10,99, 62, 10,999,5000,98 ,27,1,999
94,assignment5.txt,Out of base greater than 10,27, 86, 10,999,5000,98 ,27,1,999
95,assignment5.txt,Out of base greater than 10,338, 79, 10,999,5000,98 ,27,1,999
96,assignment5.txt,Out of base greater than 10,799, 52, 10,999,5000,98 ,27,1,999
97,assignment5.txt,Out of base greater than 10,535, 40, 10,999,5000,98 ,27,1,999
98,assignment5.txt,Out of base greater than 10,231, 86, 10,999,5000,98 ,27,1,999
99,assignment5.txt,Out of base greater than 10,700, 86, 10,999,5000,98 ,27,1,999
100,assignment5.txt,Out of base greater than 10,518, 26, 10,999,5000,98 ,27,1,999
101,assignment5.txt,Out of base greater than 10,695, 48, 10,999,5000,98 ,27,1,999
102,assignment5.txt,Out of base greater than 10,530, 37, 10,999,5000,98 ,27,1,999
